"abstergeo –ere abstersi abstersum"	"abstergeō –ēre abstersī abstersum"	"to wipe clean"	"to wipe clean"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#abstergeo"	"5645"
"absterreo abterrere absterrui absterritum"	"absterreō abterrēre absterruī absterritum"	"to frighten away"	"to frighten away"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#absterreo"	"7186"
"abstinax –acis "	"abstināx –ācis "	"abstinent"	"abstinent"	"1"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#abstinax"	"11140"
"abstinentia abstinentiae f. "	"abstinentia abstinentiae f. "	"abstinence"	"abstinence, self-restraint; fasting"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#abstinentia"	"5645"
"abstineo abstinere abstinui abstentus"	"abstineō abstinēre abstinuī abstentus"	"to hold back, keep away from"	"to withhold, keep away/clear; abstain, fast; refrain (from); avoid; keep hands of"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#abstineo"	"2859"
"abstraho –trahere –traxi –tractum"	"abstrahō –trahere –trāxī –tractum"	"to drag away"	"to drag away"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#abstraho"	"3211"
"abstrudo –ere –trusi –trusus"	"abstrūdō –ere –trūsī –trūsus"	"to push or thrust off"	"to push or thrust off; to conceal, hide"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#abstrudo"	"7186"
"absum abesse afui afuturus"	"absum abesse āfuī āfutūrus"	"to be away, be absent"	"to be absent, be distant"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#absum"	"324"
"absumo absumere absumpsi absumptum"	"absūmō absumere absūmpsī absūmptum"	"to reduce, consume"	"to take away, destroy"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#absumo"	"2554"
"absurdus –a –um"	"absurdus –a –um"	"out of tune, harsh"	"out of tune, discordant, harsh; absurd"	"1"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#absurdus"	"6092"
"abs–cedo –cedere –cessi –cessum"	"abs–cēdō –cēdere –cessī –cessum"	"to give way, depart"	"to give way, go off, move away, retire, withdraw, depart"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#abscedo"	"9174"
"abundans abundantis"	"abundans abundantis"	"overflowing, full"	"possessing in abundance, rich, abounding, overflowing; more than enough"	"1"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#abundans"	"7186"
"abundantia –ae f."	"abundantia –ae f."	"fullness, abundance"	"plenty, fullness, abundance"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#abundantia"	"4957"
"abunde"	"abundē"	"sufficiently, enough"	"with genit., sufficiently, enough (> abundus)"	"1"	"1"	"Adverb"	"Logeion"	"http://logeion.uchicago.edu/index.html#abunde"	"6092"
"abundo abundare abundavi abundatus"	"abundō abundāre abundāvī abundātus"	"to abound with"	"to overflow; abound; stream over, of a river or lake"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#abundo"	"2220"
"abutor abuti abusus"	"abūtor abutī abūsus"	"to use fully"	"to abuse"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#abutor"	"4251"
"Abydus Abydos i f."	"Abȳdus Abȳdos ī f."	"Adydus, town in Mysia"	"Town in Mysia, on the narrowest point of the Hellespont, opposite Sestos, now perh. Aidos or Avido"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#Abydus"	"11140"
"abyssus –i f."	"abyssus –ī f."	"a bottomless pit, an abyss"	"a bottomless pit, an abyss; a sea"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#abyssus"	"4957"
"ab–iudico –iudicare"	"ab–iūdicō –iūdicāre"	"to give judgment against"	"to give judgment against, deprive by a judicial decision, adjudge away"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#abiudico"	"11140"
"ab–rogo –rogare"	"ab–rogō –rogāre"	"to annul in all its parts"	"to repeal, annul, abrogate"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#abrogo"	"8014"
"ac"	"ac"	"oak, oak tree (Old English)"	"oak, oak tree (Old English)"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#ac"	"15105"
"ac"	"ac"	"and in addition"	"and in addition, or and besides; and, as well, and indeed, and; even; in comparison: as, than"	"1"	"1"	"Conjunction"	"Logeion"	"http://logeion.uchicago.edu/index.html#ac"	"48"
"acacia –ae f."	"acacia –ae f."	"the acacia-tree"	"the acacia-tree"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#acacia"	"11140"
"acalanthis –idis f."	"acalanthis –idis f."	"a small bird"	"A very small bied of a darkgreen color, also called thistlefinch or goldfinch"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#acalanthis"	"11140"
"acanthus –i m."	"acanthus –ī m."	"the plant bear's–foot"	"the plant bear's–foot; the acanthus"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#acanthus"	"6092"
"accedo accedere accessi accessum"	"accēdō accēdere accessī accessum"	"to approach, be added, be included"	"to go or come to, approach; be added, be included; happen; be an additional factor (esp. impersonal + quod or ut)"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#accedo"	"500"
"accelero accelerare acceleravi acceleratus"	"accelerō accelerāre accelerāvī accelerātus"	"to hasten"	"to hasten; make haste (> ad and celero)"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#accelero"	"4475"
"accendo accendere accendi accensus"	"accendō accendere accendī accēnsus"	"to kindle, set on fire"	"to set on fire"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#accendo"	"1038"
"accensus –i m."	"accēnsus –ī m."	"an attendant of a magistrate"	"an attendant of a magistrate, apparitor, orderly"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#accensus"	"11140"
"acceptabilis –e"	"acceptābilis –e"	"acceptable, worthy of acceptance "	"acceptable, worthy of acceptance "	"1"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#acceptabilis"	"11140"
"accepto –acceptare"	"acceptō –acceptāre"	"to take, receive"	"to take, receive"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#accepto"	"11140"
"acceptum –i n."	"acceptum –ī n."	"credit, income"	"credit, income"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#acceptum"	"5290"
